Name	Index	Desc	Assay	CellLine or Tissue	Group	Lifestage	Type
CAGE_CD4+CD25_CD45RA__memory_conventional_T_cells_	5219	CD4+CD25-CD45RA+ Memory Conventional T Cells CAGE Track	CAGE	CD4+CD25-CD45RA+ Memory Conventional T Cells	Blood & T Cell	Adult	Tissue
CAGE_CD4+CD25_CD45RA__memory_conventional_T_cells_expanded_	5216	CD4+CD25-CD45RA+ Memory Conventional T Cells Expanded CAGE Track	CAGE	CD4+CD25-CD45RA+ Memory Conventional T Cells Expanded	Blood & T Cell	Adult	Tissue
CAGE_CD4+CD25+CD45RA__memory_regulatory_T_cells_	5209	CD4+CD25+CD45RA+ Memory Regulatory T Cells CAGE Track	CAGE	CD4+CD25+CD45RA+ Memory Regulatory T Cells	Blood & T Cell	Adult	Tissue
CAGE_CD4+CD25+CD45RA__memory_regulatory_T_cells_expanded_	5212	CD4+CD25+CD45RA+ Memory Regulatory T Cells Expanded CAGE Track	CAGE	CD4+CD25+CD45RA+ Memory Regulatory T Cells Expanded	Blood & T Cell	Adult	Tissue
CAGE_CD4+CD25_CD45RA+_naive_conventional_T_cells_	5213	CD4+CD25+CD45RA+ Naive Conventional T Cells CAGE Track	CAGE	CD4+CD25+CD45RA+ Naive Conventional T Cells	Blood & T Cell	Adult	Tissue
CAGE_CD4+CD25_CD45RA+_naive_conventional_T_cells_expanded_	5210	CD4+CD25+CD45RA+ Naive Conventional T Cells Expanded CAGE Track	CAGE	CD4+CD25+CD45RA+ Naive Conventional T Cells Expanded	Blood & T Cell	Adult	Tissue
CAGE_CD4+CD25+CD45RA+_naive_regulatory_T_cells_	5218	CD4+CD25+CD45RA+ Naive Regulatory T Cells CAGE Track	CAGE	CD4+CD25+CD45RA+ Naive Regulatory T Cells	Blood & T Cell	Adult	Tissue
CAGE_CD4+CD25+CD45RA+_naive_regulatory_T_cells_expanded_	5211	CD4+CD25+CD45RA+ Naive Regulatory T Cells Expanded CAGE Track	CAGE	CD4+CD25+CD45RA+ Naive Regulatory T Cells Expanded	Blood & T Cell	Adult	Tissue
CAGE_CD8+_T_Cells_	4760	CD8+ T Cells CAGE Track	CAGE	CD8+ T Cells	Blood & T Cell	Adult	Tissue
CAGE_CD8+_T_Cells__pluriselect_____donation1	5082	CD8+ T Cells Pluriselect Donation 1 CAGE Track	CAGE	CD8+ T Cells Pluriselect Donation 1	Blood & T Cell	Adult	Tissue
CAGE_CD8+_T_Cells__pluriselect_____donation2	5084	CD8+ T Cells Pluriselect Donation 2 CAGE Track	CAGE	CD8+ T Cells Pluriselect Donation 2	Blood & T Cell	Adult	Tissue
CAGE_CD8+_T_Cells__pluriselect_____donation3	5085	CD8+ T Cells Pluriselect Donation 3 CAGE Track	CAGE	CD8+ T Cells Pluriselect Donation 3	Blood & T Cell	Adult	Tissue
CAGE_Peripheral_Blood_Mononuclear_Cells_	4765	Peripheral Blood Mononuclear Cells	CAGE	Peripheral Blood Mononuclear Cells	Blood & T Cell	Adult	Tissue
CAGE_gamma_delta_positive_T_cells_	5275	Gamma Delta Positive T Cells CAGE Track	CAGE	T Cells	Blood & T Cell	Adult	Tissue
CAGE_Whole_blood__ribopure_____donation1	4805	Whole Blood (Ribopure Donation 1)	CAGE	Whole Blood (Ribopure Donation 1)	Blood & T Cell	Adult	Tissue
CAGE_Whole_blood__ribopure_____donation2	4806	Whole Blood (Ribopure Donation 2)	CAGE	Whole Blood (Ribopure Donation 2)	Blood & T Cell	Adult	Tissue
CAGE_Whole_blood__ribopure_____donation3	5067	Whole Blood (Ribopure Donation 3)	CAGE	Whole Blood (Ribopure Donation 3)	Blood & T Cell	Adult	Tissue
CAGE_Osteoblast___differentiated_	4868	Osteoblast (Differentiated)	CAGE	Osteoblast (Differentiated)	Bone	Adult	In Vitro Differentiated
CAGE_bone_marrow__adult	5166	Bone Marrow Adult CAGE Track	CAGE	Bone Marrow	Bone	Adult	Tissue
CAGE_CD133+_stem_cells___adult_bone_marrow_derived__pool1	5140	CD133+ Stem Cells Adult Bone Marrow Derived Pool 1 CAGE Track	CAGE	Bone Marrow CD133+ Stem Cells Pool 1	Bone	Adult	Tissue
CAGE_CD34+_stem_cells___adult_bone_marrow_derived____tech_	5141	CD34+ Stem Cells Adult Bone Marrow Derived Technical CAGE Track	CAGE	Bone Marrow Derived CD34+ Stem Cells Technical	Bone	Adult	Tissue
CAGE_Osteoblast_	4808	Osteoblast	CAGE	Osteoblast	Bone	Adult	Tissue
CAGE_amygdala___adult_	5258	Amygdala Adult CAGE Track	CAGE	Amygdala	Brain	Adult	Tissue
CAGE_amygdala__adult_	5095	Amygdala Adult CAGE Track	CAGE	Amygdala	Brain	Adult	Tissue
CAGE_Astrocyte___cerebellum_	4873	Astrocyte Cerebellum CAGE Track	CAGE	Astrocyte Cerebellum	Brain	Adult	Tissue
CAGE_Astrocyte___cerebral_cortex_	4769	Astrocyte Cerebral Cortex CAGE Track	CAGE	Astrocyte Cerebral Cortex	Brain	Adult	Tissue
CAGE_brain__adult_	4980	Brain Adult CAGE Track	CAGE	Brain	Brain	Adult	Tissue
CAGE_brain__adult__pool1	4680	Brain Adult Pool 1 CAGE Track	CAGE	Brain Pool 1	Brain	Adult	Tissue
CAGE_caudate_nucleus___adult_	5267	Caudate Nucleus Adult CAGE Track	CAGE	Caudate Nucleus	Brain	Adult	Tissue
CAGE_caudate_nucleus__adult_	5104	Caudate Nucleus Adult CAGE Track	CAGE	Caudate Nucleus	Brain	Adult	Tissue
CAGE_cerebellum___adult_	5264	Cerebellum Adult CAGE Track	CAGE	Cerebellum	Brain	Adult	Tissue
CAGE_cerebellum__adult_	5106	Cerebellum Adult CAGE Track	CAGE	Cerebellum	Brain	Adult	Tissue
CAGE_cerebellum__adult__pool1	4979	Cerebellum Adult Pool 1 CAGE Track	CAGE	Cerebellum Pool 1	Brain	Adult	Tissue
CAGE_cerebral_meninges__adult	5162	Cerebral Meninges Adult CAGE Track	CAGE	Cerebral Meninges	Brain	Adult	Tissue
CAGE_cerebrospinal_fluid_	5222	Cerebrospinal Fluid CAGE Track	CAGE	Cerebrospinal Fluid	Brain	Adult	Tissue
CAGE_corpus_callosum__adult__pool1	4710	Corpus Callosum Adult Pool 1 CAGE Track	CAGE	Corpus Callosum Pool 1	Brain	Adult	Tissue
CAGE_diencephalon__adult	5151	Diencephalon Adult CAGE Track	CAGE	Diencephalon	Brain	Adult	Tissue
CAGE_brain__fetal__pool1	4981	Brain Fetal Pool 1 CAGE Track	CAGE	Fetal Brain Pool 1	Brain	Developing	Tissue
CAGE_frontal_lobe__adult__pool1	4708	Frontal Lobe Adult Pool 1 CAGE Track	CAGE	Frontal Lobe Adult Pool 1	Brain	Adult	Tissue
CAGE_globus_pallidus___adult_	5266	Globus Pallidus Adult CAGE Track	CAGE	Globus Pallidus Adult	Brain	Adult	Tissue
CAGE_globus_pallidus__adult_	5102	Globus Pallidus Adult CAGE Track	CAGE	Globus Pallidus Adult	Brain	Adult	Tissue
CAGE_globus_pallidus__newborn_	5291	Globus Pallidus Newborn CAGE Track	CAGE	Globus Pallidus Newborn	Brain	Newborn	Tissue
CAGE_hippocampus___adult_	5260	Hippocampus Adult CAGE Track	CAGE	Hippocampus Adult	Brain	Adult	Tissue
CAGE_hippocampus__adult_	5096	Hippocampus Adult CAGE Track	CAGE	Hippocampus Adult	Brain	Adult	Tissue
CAGE_hippocampus__newborn_	5290	Hippocampus Newborn CAGE Track	CAGE	Hippocampus Newborn	Brain	Newborn	Tissue
CAGE_insula__adult__pool1	4707	Insula Adult Pool 1 CAGE Track	CAGE	Insula Adult Pool 1	Brain	Adult	Tissue
CAGE_left_atrium__adult_	4975	Left Atrium Adult CAGE Track	CAGE	Left Atrium Adult	Brain	Adult	Tissue
CAGE_locus_coeruleus___adult_	5272	Locus Coeruleus Adult CAGE Track	CAGE	Locus Coeruleus Adult	Brain	Adult	Tissue
CAGE_locus_coeruleus__adult_	5105	Locus Coeruleus Adult CAGE Track	CAGE	Locus Coeruleus Adult	Brain	Adult	Tissue
CAGE_locus_coeruleus__newborn_	5289	Locus Coeruleus Newborn CAGE Track	CAGE	Locus Coeruleus Newborn	Brain	Newborn	Tissue
CAGE_medial_frontal_gyrus___adult_	5261	Medial Frontal Gyrus (Adult)	CAGE	Medial Frontal Gyrus (Adult)	Brain	Adult	Tissue
CAGE_medial_frontal_gyrus__adult_	5094	Medial Frontal Gyrus (Adult)	CAGE	Medial Frontal Gyrus (Adult)	Brain	Adult	Tissue
CAGE_medial_frontal_gyrus__newborn_	5279	Medial Frontal Gyrus (Newborn)	CAGE	Medial Frontal Gyrus (Newborn)	Brain	Newborn	Tissue
CAGE_medial_temporal_gyrus__adult____tech_	5306	Medial Temporal Gyrus (Adult Tech)	CAGE	Medial Temporal Gyrus (Adult Tech)	Brain	Adult	Tissue
CAGE_medial_temporal_gyrus___adult_	5273	Medial Temporal Gyrus (Adult)	CAGE	Medial Temporal Gyrus (Adult)	Brain	Adult	Tissue
CAGE_medial_temporal_gyrus__adult_	5099	Medial Temporal Gyrus (Adult)	CAGE	Medial Temporal Gyrus (Adult)	Brain	Adult	Tissue
CAGE_medial_temporal_gyrus__newborn_	5280	Medial Temporal Gyrus (Newborn)	CAGE	Medial Temporal Gyrus (Newborn)	Brain	Newborn	Tissue
CAGE_medulla_oblongata__adult__pool1	4706	Medulla Oblongata (Adult Pool 1)	CAGE	Medulla Oblongata (Adult Pool 1)	Brain	Adult	Tissue
CAGE_medulla_oblongata___adult_	5265	Medulla Oblongata (Adult)	CAGE	Medulla Oblongata (Adult)	Brain	Adult	Tissue
CAGE_medulla_oblongata__adult_	5098	Medulla Oblongata (Adult)	CAGE	Medulla Oblongata (Adult)	Brain	Adult	Tissue
CAGE_medulla_oblongata__newborn_	5288	Medulla Oblongata (Newborn)	CAGE	Medulla Oblongata (Newborn)	Brain	Newborn	Tissue
CAGE_Meningeal_Cells_	4872	Meningeal Cells	CAGE	Meningeal Cells	Brain	Adult	Tissue
CAGE_Neurons_	5112	Neurons	CAGE	Neurons	Brain	Adult	Tissue
CAGE_amygdala__newborn_	5287	Amygdala Newborn CAGE Track	CAGE	Newborn Amygdala	Brain	Newborn	Tissue
CAGE_caudate_nucleus__newborn_	5281	Caudate Nucleus Newborn CAGE Track	CAGE	Newborn Caudate Nucleus	Brain	Newborn	Tissue
CAGE_cerebellum__newborn_	5284	Cerebellum Newborn CAGE Track	CAGE	Newborn Cerebellum	Brain	Newborn	Tissue
CAGE_nucleus_accumbens__adult__pool1	4705	Nucleus Accumbens (Adult Pool 1)	CAGE	Nucleus Accumbens (Adult Pool 1)	Brain	Adult	Tissue
CAGE_occipital_cortex___adult_	5263	Occipital Cortex (Adult)	CAGE	Occipital Cortex (Adult)	Brain	Adult	Tissue
CAGE_occipital_cortex__adult_	5103	Occipital Cortex (Adult)	CAGE	Occipital Cortex (Adult)	Brain	Adult	Tissue
CAGE_occipital_cortex__newborn_	5282	Occipital Cortex (Newborn)	CAGE	Occipital Cortex (Newborn)	Brain	Newborn	Tissue
CAGE_occipital_lobe__adult_	4972	Occipital Lobe (Adult)	CAGE	Occipital Lobe (Adult)	Brain	Adult	Tissue
CAGE_occipital_lobe__fetal_	4969	Occipital Lobe (Fetal)	CAGE	Occipital Lobe (Fetal)	Brain	Developing	Tissue
CAGE_occipital_pole__adult__pool1	4704	Occipital Pole (Adult Pool 1)	CAGE	Occipital Pole (Adult Pool 1)	Brain	Adult	Tissue
CAGE_olfactory_region__adult	5152	Olfactory Region (Adult)	CAGE	Olfactory Region (Adult)	Brain	Adult	Tissue
CAGE_Oligodendrocyte___precursors_	5147	Oligodendrocyte Precursors	CAGE	Oligodendrocyte Precursors	Brain	Adult	Tissue
CAGE_paracentral_gyrus__adult__pool1	4703	Paracentral Gyrus (Adult Pool 1)	CAGE	Paracentral Gyrus (Adult Pool 1)	Brain	Adult	Tissue
CAGE_parietal_cortex__adult_	5305	Parietal Cortex (Adult)	CAGE	Parietal Cortex (Adult)	Brain	Adult	Tissue
CAGE_parietal_lobe__adult__pool1	4702	Parietal Lobe (Adult Pool 1)	CAGE	Parietal Lobe (Adult Pool 1)	Brain	Adult	Tissue
CAGE_parietal_lobe___adult_	5262	Parietal Lobe (Adult)	CAGE	Parietal Lobe (Adult)	Brain	Adult	Tissue
CAGE_parietal_lobe__adult_	5100	Parietal Lobe (Adult)	CAGE	Parietal Lobe (Adult)	Brain	Adult	Tissue
CAGE_parietal_lobe__fetal_	4968	Parietal Lobe (Fetal)	CAGE	Parietal Lobe (Fetal)	Brain	Developing	Tissue
CAGE_parietal_lobe__newborn_	5283	Parietal Lobe (Newborn)	CAGE	Parietal Lobe (Newborn)	Brain	Newborn	Tissue
CAGE_parotid_gland__adult	5170	Parotid Gland (Adult)	CAGE	Parotid Gland (Adult)	Brain	Adult	Tissue
CAGE_pons__adult__pool1	4701	Pons (Adult Pool 1)	CAGE	Pons (Adult Pool 1)	Brain	Adult	Tissue
CAGE_postcentral_gyrus__adult__pool1	4700	Postcentral Gyrus (Adult Pool 1)	CAGE	Postcentral Gyrus (Adult Pool 1)	Brain	Adult	Tissue
CAGE_putamen__adult____tech_	5304	Putamen (Adult Tech)	CAGE	Putamen (Adult Tech)	Brain	Adult	Tissue
CAGE_putamen__adult_	5107	Putamen (Adult)	CAGE	Putamen (Adult)	Brain	Adult	Tissue
CAGE_putamen__newborn_	5292	Putamen (Newborn)	CAGE	Putamen (Newborn)	Brain	Newborn	Tissue
CAGE_substantia_nigra___adult_	5268	Substantia Nigra (Adult)	CAGE	Substantia Nigra (Adult)	Brain	Adult	Tissue
CAGE_substantia_nigra__adult_	5101	Substantia Nigra (Adult)	CAGE	Substantia Nigra (Adult)	Brain	Adult	Tissue
CAGE_substantia_nigra__newborn_	5285	Substantia Nigra (Newborn)	CAGE	Substantia Nigra (Newborn)	Brain	Newborn	Tissue
CAGE_temporal_lobe__adult__pool1	4699	Temporal Lobe (Adult Pool 1)	CAGE	Temporal Lobe (Adult Pool 1)	Brain	Adult	Tissue
CAGE_temporal_lobe__fetal____tech_	4960	Temporal Lobe (Fetal Tech)	CAGE	Temporal Lobe (Fetal Tech)	Brain	Developing	Tissue
CAGE_thalamus__adult____tech_	5303	Thalamus (Adult Tech)	CAGE	Thalamus (Adult Tech)	Brain	Adult	Tissue
CAGE_thalamus___adult_	5259	Thalamus (Adult)	CAGE	Thalamus (Adult)	Brain	Adult	Tissue
CAGE_thalamus__adult_	5097	Thalamus (Adult)	CAGE	Thalamus (Adult)	Brain	Adult	Tissue
CAGE_thalamus__newborn_	5293	Thalamus (Newborn)	CAGE	Thalamus (Newborn)	Brain	Newborn	Tissue
CAGE_anaplastic_carcinoma_cell_line_8305C	4738	Anaplastic Carcinoma Cell Line 8305C CAGE Track	CAGE	8305C	Cancer	Unknown	Cell Line
CAGE_glioblastoma_cell_line_A172__tech_	4823	Glioblastoma Cell Line A172 (Tech) CAGE Track	CAGE	A172 (Tech) Glioblastoma	Cancer	Unknown	Cell Line
CAGE_epidermoid_carcinoma_cell_line_A431	4736	Epidermoid Carcinoma Cell Line A431 CAGE Track	CAGE	A431	Cancer	Unknown	Cell Line
CAGE_lung_adenocarcinoma_cell_line_A549	4852	Lung Adenocarcinoma Cell Line A549 CAGE Track	CAGE	A549 Lung Adenocarcinoma Cell Line	Cancer	Unknown	Cell Line
CAGE_adult_T_cell_leukemia_cell_line_ATN_1	4731	Adult T Cell Leukemia Cell Line ATN-1 CAGE Track	CAGE	ATN-1	Cancer	Unknown	Cell Line
CAGE_gastric_cancer_cell_line_AZ521	4862	Gastric Cancer Cell Line AZ521 CAGE Track	CAGE	AZ521 Gastric Cancer	Cancer	Unknown	Cell Line
CAGE_acute_lymphoblastic_leukemia__B_ALL__cell_line_BALL_1	4829	B-ALL Cell Line BALL-1	CAGE	BALL-1	Cancer	Unknown	Cell Line
CAGE_choriocarcinoma_cell_line_BeWo	4733	Choriocarcinoma Cell Line BeWo CAGE Track	CAGE	BeWo	Cancer	Unknown	Cell Line
CAGE_epidermoid_carcinoma_cell_line_Ca_Ski	4741	Epidermoid Carcinoma Cell Line Ca Ski CAGE Track	CAGE	Ca Ski	Cancer	Unknown	Cell Line
CAGE_colon_carcinoma_cell_line_CACO_2	4856	Colon Carcinoma Cell Line CACO-2 CAGE Track	CAGE	CACO-2	Cancer	Unknown	Cell Line
CAGE_bronchogenic_carcinoma_cell_line_ChaGo_K_1	5007	Bronchogenic Carcinoma Cell Line ChaGo K-1 CAGE Track	CAGE	ChaGo K-1	Cancer	Unknown	Cell Line
CAGE_colon_carcinoma_cell_line_COLO_320	4730	Colon Carcinoma Cell Line COLO-320 CAGE Track	CAGE	COLO-320	Cancer	Unknown	Cell Line
CAGE_diffuse_large_B_cell_lymphoma_cell_line_CTB_1	4934	Diffuse Large B-cell Lymphoma Cell Line CTB-1 CAGE Track	CAGE	CTB-1	Cancer	Unknown	Cell Line
CAGE_cervical_cancer_cell_line_D98_AH2	4864	Cervical Cancer Cell Line D98 AH2 CAGE Track	CAGE	D98 AH2	Cancer	Unknown	Cell Line
CAGE_Burkitt's_lymphoma_cell_line_DAUDI	4732	Burkitt's Lymphoma Cell Line DAUDI CAGE Track	CAGE	DAUDI	Cancer	Unknown	Cell Line
CAGE_malignant_trichilemmal_cyst_cell_line_DJM_1	4723	Malignant Trichilemmal Cyst Cell Line DJM-1 CAGE Track	CAGE	DJM-1 Malignant Trichilemmal Cyst Cell Line	Cancer	Unknown	Cell Line
CAGE_lymphangiectasia_cell_line_DS_1	5016	Lymphangiectasia Cell Line DS-1 CAGE Track	CAGE	DS-1 Lymphangiectasia Cell Line	Cancer	Unknown	Cell Line
CAGE_gastrointestinal_carcinoma_cell_line_ECC12	4931	Gastrointestinal Carcinoma Cell Line ECC12 CAGE Track	CAGE	ECC12 Gastrointestinal Carcinoma	Cancer	Unknown	Cell Line
CAGE_acute_myeloid_leukemia__FAB_M6__cell_line_EEB	5192	FAB M6 AML Cell Line EEB	CAGE	EEB	Cancer	Unknown	Cell Line
CAGE_acute_myeloid_leukemia__FAB_M4eo__cell_line_EoL_1	5189	FAB M4eo AML Cell Line EoL-1	CAGE	EoL-1	Cancer	Unknown	Cell Line
CAGE_acute_myeloid_leukemia__FAB_M4eo__cell_line_EoL_3	5190	FAB M4eo AML Cell Line EoL-3	CAGE	EoL-3	Cancer	Unknown	Cell Line
CAGE_acute_myeloid_leukemia__FAB_M6__cell_line_F_36E	5193	FAB M6 AML Cell Line F-36E	CAGE	F-36E	Cancer	Unknown	Cell Line
CAGE_acute_myeloid_leukemia__FAB_M6__cell_line_F_36P	5252	FAB M6 AML Cell Line F-36P	CAGE	F-36P	Cancer	Unknown	Cell Line
CAGE_acute_myeloid_leukemia__FAB_M4__cell_line_FKH_1	5250	FAB M4 AML Cell Line FKH-1	CAGE	FKH-1	Cancer	Unknown	Cell Line
CAGE_leiomyoblastoma_cell_line_G_402	5013	Leiomyoblastoma Cell Line G-402 CAGE Track	CAGE	G-402 Leiomyoblastoma Cell Line	Cancer	Unknown	Cell Line
CAGE_fibrous_histiocytoma_cell_line_GCT_TIB_223	5008	Fibrous Histiocytoma Cell Line GCT TIB-223 CAGE Track	CAGE	GCT TIB-223 Fibrous Histiocytoma	Cancer	Unknown	Cell Line
CAGE_glioma_cell_line_GI_1	4724	Glioma Cell Line GI-1 CAGE Track	CAGE	GI-1 Glioma	Cancer	Unknown	Cell Line
CAGE_gastric_cancer_cell_line_GSS	5310	Gastric Cancer Cell Line GSS CAGE Track	CAGE	GSS Gastric Cancer	Cancer	Unknown	Cell Line
CAGE_extraskeletal_myxoid_chondrosarcoma_cell_line_H_EMC_SS	4721	Extraskeletal Myxoid Chondrosarcoma Cell Line H EMC SS CAGE Track	CAGE	H EMC SS	Cancer	Unknown	Cell Line
CAGE_acantholytic_squamous_carcinoma_cell_line_HCC1806	5010	Acantholytic Squamous Carcinoma Cell Line HCC1806	CAGE	HCC1806	Cancer	Unknown	Cell Line
CAGE_Hodgkin's_lymphoma_cell_line_HD_Mar2	4914	Hodgkin's Lymphoma Cell Line HD-Mar2 CAGE Track	CAGE	HD-Mar2 Hodgkin's Lymphoma	Cancer	Unknown	Cell Line
CAGE_epitheloid_carcinoma_cell_line__HelaS3_ENCODE__biol_	5108	Epitheloid Carcinoma Cell Line HelaS3 (ENCODE) CAGE Track	CAGE	HelaS3 (ENCODE)	Cancer	Unknown	Cell Line
CAGE_Hep_2_cells_mock_treated__biol_	5247	Hep-2 Cells Mock Treated (Biol) CAGE Track	CAGE	Hep-2 Cells Mock Treated (Biol)	Cancer	Unknown	Cell Line
CAGE_Hep_2_cells_treated_with_Streptococci_strain_5448__biol_	5245	Hep-2 Cells Treated with Streptococci Strain 5448 (Biol) CAGE Track	CAGE	Hep-2 Cells Treated with Streptococci Strain 5448 (Biol)	Cancer	Unknown	Cell Line
CAGE_Hep_2_cells_treated_with_Streptococci_strain_JRS4__biol_	5246	Hep-2 Cells Treated with Streptococci Strain JRS4 (Biol) CAGE Track	CAGE	Hep-2 Cells Treated with Streptococci Strain JRS4 (Biol)	Cancer	Unknown	Cell Line
CAGE_keratoacanthoma_cell_line_HKA_1	5039	Keratoacanthoma Cell Line HKA-1 CAGE Track	CAGE	HKA-1 Keratoacanthoma Cell Line	Cancer	Unknown	Cell Line
CAGE_acute_myeloid_leukemia__FAB_M3__cell_line_HL60	5188	FAB M3 AML Cell Line HL60	CAGE	HL60	Cancer	Unknown	Cell Line
CAGE_acute_myeloid_leukemia__FAB_M4__cell_line_HNT_34	5251	FAB M4 AML Cell Line HNT-34	CAGE	HNT-34	Cancer	Unknown	Cell Line
CAGE_glassy_cell_carcinoma_cell_line_HOKUG	4993	Glassy Cell Carcinoma Cell Line HOKUG CAGE Track	CAGE	HOKUG Glassy Cell Carcinoma	Cancer	Unknown	Cell Line
CAGE_acute_lymphoblastic_leukemia__T_ALL__cell_line_HPB_ALL	4739	T-ALL Cell Line HPB-ALL	CAGE	HPB-ALL	Cancer	Unknown	Cell Line
CAGE_Ewing's_sarcoma_cell_line_Hs_863_T	5003	Ewing's Sarcoma Cell Line Hs 863 T CAGE Track	CAGE	Hs 863 T	Cancer	Unknown	Cell Line
CAGE_leiomyosarcoma_cell_line_Hs_5_T	5088	Leiomyosarcoma Cell Line Hs-5 T CAGE Track	CAGE	Hs-5 T Leiomyosarcoma Cell Line	Cancer	Unknown	Cell Line
CAGE_epithelioid_sarcoma_cell_line_HS_ES_1	4826	Epithelioid Sarcoma Cell Line HS-ES-1 CAGE Track	CAGE	HS-ES-1	Cancer	Unknown	Cell Line
CAGE_epithelioid_sarcoma_cell_line_HS_ES_2R	5308	Epithelioid Sarcoma Cell Line HS-ES-2R CAGE Track	CAGE	HS-ES-2R	Cancer	Unknown	Cell Line
CAGE_Krukenberg_tumor_cell_line_HSKTC	4992	Krukenberg Tumor Cell Line HSKTC CAGE Track	CAGE	HSKTC Krukenberg Tumor Cell Line	Cancer	Unknown	Cell Line
CAGE_fibrosarcoma_cell_line_HT_1080	5023	Fibrosarcoma Cell Line HT-1080 CAGE Track	CAGE	HT-1080 Fibrosarcoma	Cancer	Unknown	Cell Line
CAGE_bile_duct_carcinoma_cell_line_HuCCT1	4742	Bile Duct Carcinoma Cell Line HuCCT1 CAGE Track	CAGE	HuCCT1	Cancer	Unknown	Cell Line
CAGE_cholangiocellular_carcinoma_cell_line_HuH_28	4859	Cholangiocellular Carcinoma Cell Line HuH-28 CAGE Track	CAGE	HuH-28	Cancer	Unknown	Cell Line
CAGE_hepatoblastoma_cell_line_HuH_6	4935	Hepatoblastoma Cell Line HuH-6 CAGE Track	CAGE	HuH-6 Hepatoblastoma	Cancer	Unknown	Cell Line
CAGE_acute_myeloid_leukemia__FAB_M1__cell_line_HYT_1	5187	FAB M1 AML Cell Line HYT-1	CAGE	HYT-1	Cancer	Unknown	Cell Line
CAGE_large_cell_lung_carcinoma_cell_line_IA_LM	4854	Large Cell Lung Carcinoma Cell Line IA-LM CAGE Track	CAGE	IA-LM Large Cell Lung Carcinoma Cell Line	Cancer	Unknown	Cell Line
